Series Name,"Series Code","Country Name","Country Code","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Afghanistan","AFG","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","0.00472256824217368","0.00456139517022146","0.0878912528559713","0.105809030021958","1.22414808372471","2.10712364546412","1.9","1.84","3.55","4","5","5.45454545454545","5.9","7","8.26","11.2","13.5","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Albania","ALB","NA","0","NA","NA","NA","NA","0.011168695","0.032196828","0.048593919","0.06502737","0.081437045","0.114097346552109","0.325798377067964","0.39008127343332","0.971900415195857","2.42038779776014","6.04389086404814","9.60999131577118","15.0361154084109","23.86","41.2","45","49","54.6559590399494","57.2","60.1","63.252932696931","66.363444701023","71.8470405043844","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Algeria","DZA","NA","0","NA","NA","NA","0.000360674","0.001768954","0.001738533","0.010268463","0.020238555","0.199523843","0.491705679141589","0.646114016703792","1.59164126035832","2.19535973086144","4.63447508776537","5.84394209201256","7.37598495634886","9.45119062555304","10.18","11.23","12.5","14.9","18.2","22.5","29.5","38.2","42.9455268800332","47.6910551485548","49.0384680793271","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","American Samoa","ASM","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Andorra","AND","NA","0","NA","NA","NA","NA","NA","1.526601023","3.050175385","6.886209218","7.635686143","10.53883560922","NA","11.2604687170103","13.546412876439","26.8379543894637","37.6057662174867","48.9368469989479","70.87","70.04","78.53","81","81","86.4344246167258","94","95.9","96.91","97.9306371220021","91.5674670273926","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Angola","AGO","NA","0","NA","NA","NA","NA","NA","0.000775929","0.005673746","0.018453724","0.071964087","0.105045562462262","0.136013867429868","0.270376745595134","0.370682065225727","0.464814617985909","1.1433668265595","1.5","1.7","1.9","2.3","2.8","3.1","6.5","8.9","21.4","12.4","13","14.3390793643794","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Antigua and Barbuda","ATG","NA","0","NA","NA","NA","NA","2.200768802","2.858449577","3.480536838","4.0717165","5.300681138","6.48222573702907","8.89928551450583","12.5","17.2286487816884","24.2665437161785","27","30","34","38","42","47","52","58","63.4","67.78","70","73","76","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Argentina","ARG","NA","0","NA","0.002992874","0.029527065","0.043705951","0.086277081","0.141954704","0.280339882","0.83076668","3.284481956","7.0386830862178","9.78080728532407","10.8821243775325","11.9136965509954","16.0366841054923","17.7205833696065","20.9272021035896","25.9466329403819","28.1126234799907","34","45","51","55.8","59.9","64.7","68.0430641088122","70.96898082","74.29490687","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Armenia","ARM","NA","0","NA","NA","NA","0.009117014","0.052743123","0.094572902","0.111650935","0.128659478","0.970737757","1.30047002237784","1.63109466677715","1.9604050458212","4.57521722477781","4.8990085713054","5.25298335195804","5.63178777731609","6.02125339712607","6.21","15.3","25","32","37.5","41.9","54.6228058583362","59.1023777148789","64.34602977","64.7448843250726","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Aruba","ABW","NA","0","NA","NA","NA","NA","NA","2.768382663","NA","NA","4.506179098","15.4428229480349","17.1","18.8","20.8","23","25.4","28","30.9","52","58","62","69","74","78.9","83.78","88.661226932496","93.542453865048","97.17","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Australia","AUS","NA","0.585094712","1.097203891","1.768764913","1.974611016","2.232101254","2.759654513","3.27524987","16.36935838","30.81323944","40.7837839","46.7561156116738","52.6892664310395","NA","NA","NA","63","66","69.45","71.67","74.25","76","79.4876977139029","79","83.453497167","84","84.560519347399","86.54","86.54504885","NA","NA"
Individuals using the Internet (% of population),"IT.NET.USER.ZS","Austria","AUT","NA","0.130369377","0.259081553","0.642817619","0.76534273","1.393422968","1.890210524","6.909162353","9.533974317","15.42121932","23.0443171","33.7301329516915","39.1854501811114","36.56","42.7","54.28","58","63.6","69.37","72.87","73.45","75.17","78.7399930986888","80.0299939169903","80.6188","80.9958249574764","83.9401419315026","84.32374257","87.93558659","87.4791372262556","NA"
